genus,1062-MG,1082-MG,1202-MG,1313-MG,481-MG,482-MG,581-MG,640-MG,644A-MG,713-MG,726-MG,728-MG,729-MG,730-MG,731-MG,734-MG,741-MG,769-MG,778-MG,781-MG,809-MG,816-MG,817-MG,936-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Aquihabitans,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans
Ilumatobacter,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter
Bounagaea,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Actinomycetia_Incertae_sedis,Actinomycetia_Incertae_sedis_Incertae_sedis,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Actinomycetia_Incertae_sedis;Actinomycetia_Incertae_sedis_Incertae_sedis;Bounagaea
Corynebacterium,0,11,0,0,0,0,7,0,0,0,0,107,0,0,0,89,0,42,0,149,0,40,100,0,545,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium
Dietzia,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,31,8,0,0,21,7,0,93,0,164,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia
Mycolicibacterium,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium
Rhodococcus,21,0,0,0,0,0,0,0,0,0,1,0,11,16,0,0,0,0,0,21,0,0,201,0,271,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus
Smaragdicoccus,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Smaragdicoccus
Cryptosporangium,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Cryptosporangiales,Cryptosporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium
Blastococcus,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,22,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Geodermatophilales;Geodermatophilaceae;Blastococcus
Quadrisphaera,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Kineosporiales,Kineosporiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Kineosporiales;Kineosporiaceae;Quadrisphaera
Georgenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,62,0,73,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Bogoriellaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Bogoriellaceae;Georgenia
Actinotalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,8,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;Actinotalea
Cellulomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;Cellulomonas
Brachybacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,41,0,0,125,0,194,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium
Intrasporangium,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Intrasporangium
Janibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,107,0,113,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter
Knoellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,0,47,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Knoellia
Ornithinicoccus,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Ornithinicoccus
Kytococcus,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Kytococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Kytococcaceae;Kytococcus
Leucobacter,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Leucobacter
Microbacterium,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,15,0,0,39,0,0,3,0,73,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium
Pseudolysinimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Pseudolysinimonas
Citricoccus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,137,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Citricoccus
Enteractinococcus,0,0,0,0,0,0,3,0,0,0,0,38,0,0,0,12,0,0,0,26,0,0,41,0,120,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Enteractinococcus
Garicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,5,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Garicola
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,9,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Kocuria
Micrococcus,0,12,0,0,0,0,0,0,8,0,0,0,0,37,0,70,0,25,0,13,0,18,0,0,183,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus
Nesterenkonia,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,44,12,0,0,36,0,0,23,0,123,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Nesterenkonia
Yaniella,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,24,0,0,0,0,41,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Yaniella
Ornithinimicrobium,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,102,24,0,0,0,0,12,21,0,185,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Ornithinimicrobiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium
Cellulosimicrobium,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,26,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Promicromonosporaceae;Cellulosimicrobium
Marmoricola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,10,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Marmoricola
Nocardioides,0,20,6,0,0,0,0,0,3,5,0,8,0,0,0,91,1,0,0,6,70,0,20,18,248,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides
Cutibacterium,22,22,0,0,0,83,0,18,81,125,3,21,46,2,0,0,67,47,0,39,135,109,21,200,1041,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium
Microlunatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,42,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Microlunatus
Propioniciclava,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Propioniciclava
Tessaracoccus,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,16,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Tessaracoccus
Actinomycetospora,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,0,0,0,0,6,0,0,33,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora
Pseudonocardia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia
Streptomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces
Actinomadura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Streptosporangiales,Thermomonosporaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Streptosporangiales;Thermomonosporaceae;Actinomadura
Thermophilibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,Bacteria,Bacteria_none,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter
Nitriliruptor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,Bacteria,Bacteria_none,Actinobacteria,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,Bacteria;Bacteria_none;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae;Nitriliruptor
Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
Cnuella,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Cnuella
Ferruginibacter,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter
Sediminibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium
Terrimonas,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas
Spirosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,43,62,0,0,0,0,0,52,370,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma
Hymenobacter,27,27,113,0,0,495,3,43,179,0,2,33,537,206,0,726,60,0,0,0,1200,207,1626,299,5783,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter
Pontibacter,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,29,0,45,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter
Flavobacterium,3065,913,23,0,0,0,0,0,0,0,0,0,20,0,0,0,26,0,0,0,0,0,1,14,4062,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Salinimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,106,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium
Apibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter
Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,13,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium
Empedobacter,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,36,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Empedobacter
Epilithonimonas,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Epilithonimonas
Parapedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,169,Bacteria,Bacteria_none,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Parapedobacter
Pedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,Bacteria,Bacteria_none,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
Komarekiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,Bacteria,Bacteria_none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Nostocales,Nostocaceae,Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Nostocaceae;Komarekiella
Pseudoaliinostoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Nostocales,Nostocaceae,Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Nostocaceae;Pseudoaliinostoc
Constrictifilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Nostocales,Nostocales_Incertae_sedis,Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Nostocales_Incertae_sedis;Constrictifilum
Bacillus,0,11,0,0,0,503,0,0,0,0,3,1,0,101,0,0,0,156,0,3,6,7,3,0,794,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
Cytobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,7,0,0,43,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Cytobacillus
Geobacillus,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus
Halobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus
Lysinibacillus,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,53,0,0,67,0,223,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus
Mesobacillus,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,15,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Mesobacillus
Neobacillus,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,37,46,59,0,0,167,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Neobacillus
Niallia,0,0,13,0,0,0,1,0,0,0,0,0,0,51,0,0,0,0,0,0,0,10,0,0,75,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Niallia
Peribacillus,331,208,108,0,0,2655,58,67,363,1891,8,355,336,931,0,1095,260,308,0,1011,1145,257,809,679,12875,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus
Pseudoneobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,46,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Pseudoneobacillus
Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,98,0,0,0,0,185,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_sedis,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Exiguobacterium
Gemella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,94,0,144,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_sedis,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella
Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,80,0,98,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Aliicoccus,0,0,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,23,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Aliicoccus
Jeotgalicoccus,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,89,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus
Salinicoccus,0,0,0,0,0,147,39,0,0,110,0,66,0,0,0,270,87,61,0,415,252,0,424,64,1935,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus
Staphylococcus,27,0,33,0,0,0,0,7,0,0,0,50,0,0,0,96,33,5,0,151,452,49,285,79,1267,Bacteria,Bacteria_none,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Aerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,69,Bacteria,Bacteria_none,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus
